ingredient
corn starch
pea starch
tapioca starch
wheat
insect oil
poultry oil
blood meal
bone meal
feather meal
insect meal
fish oil-trimmings-wild
fish oil-wild
fish-oil-trimmings-farmed-marine
krill oil
fishmeal-trimmings-farmed-marine
fishmeal-trimmings-wild
fishmeal-wild
krill meal
squid meal
canola/camelina oil
linseed oil
soy oil
corn gluten meal
faba beans
guar meal
lupins
pea protein concentrate
soy protein concentrate
soybean meal
sunflower meal
wheat gluten
algal biomass
bacterial meal
